name,fact,issue,decision,reason,year,description
Balfour v Balfour (1919) 2 KB 571,Plaintiff alleged husband promised to pay 30 pounds a month due to illness.,Later they separated and divorced.,"Judge decided in favour of plaintiff, defendantappealed.","When married persons enter into domestic agreements, the reasonable assumption is that they do not intend such agreements to be legally enforceable.",1919,
Cohen v Cohen (1929) 42 CLR 91,Plaintiff alleged defendant promised to pay her 100 pounds as a dress allowance.,They separated.,"Same ratio decidendi as above, binding on Australian courts.","Same ratio decidendi as above, binding on Australian courts",1929,
Merritt v Merritt (1970) 2 All ER 760,"Husband and wife married, got a building plot and built house with mortgage and under husband's name. Agreed to put the house in joint names (wife contributed to household expenses). Husband left her for another woman, promised to pay 40 pounds a month and she had to pay mortgage (written down). Husband refused to transfer house into her own name. ",,"when married persons whose relationship has already broken down enter into agreements, even of domestic nature, reasonable assumption is that they dointend such agreements to be legally enforceable.",MerrittOs case does not mean that Balfour and CohenOs cases are wrong but we need to refine the ratio laid down in those cases: e.g. OWhen married persons who are living in amity enter into.,1970,
SCARBOROUGH V STURZAKER,"Scarborough purchased a bicycle from Sturzaker.  He traded in his old bike. Scarborough used the bicycle to travel to and from work (a 12 mile journey each way). Scarborough reneged on the promise to pay Sturzaker. As Scarborough was under the age of 18, the agreement would only be enforceable as a contract if the bike was a ‘necessity’.","given Scarborough already owned a bike (the one he traded in), was a new bicycle a necessity?",The contract was legally binding.,"Given the distance Scarborough lived from his place of employment, a bicycle was a necessity. While he still had his old bike, a new bike would not be a necessity. However, because he traded in his old bike, the new bike was held to be a necessity.",1905,"Minors may be bound to pay a reasonable price for goods acquired pursuant to contracts for ‘necessities’ (eg food, shelter, transport to work)"
HAMILTON V LETHBRIDGE,"L (a minor) entered into a five year contract, under which he was to serve as an articled clerk for H, a practising lawyer. The contract included a restraint of trade clause that prevented L from practising law within 50 kilometres of Toowoomba. L argued that he was not bound by the contract (including the restraint of trade clause) because he was a minor at the time he entered the agreement.",Was the contract legally binding?  Was the contract a beneficial contract?,The contract was legally binding,"Although some stipulations in the contract benefitted H (eg the restraint of trade clause), overall the contract was for L’s benefit. Such a contract will be enforceable unless the court identifies a provision which makes the entire contract unfair, in which case the contract will be void. The contract in question included no such provision. ",1912,“Beneficial” can also be enforced against a minor.
PLACER DEVELOPMENT LTD V COMMONWEALTH,The Cth government promised to pay PD a subsidy. The subsidy was to be ‘of an amount or at a rate to be determined by the Commonwealth from time to time’.,Had the government made a legally binding promise?,A majority of the High Court held that government’s promise was not contractually enforceable,“[A] promise to pay an unspecified amount of money is not enforceable where it expressly appears that the amount to be paid is to rest in the discretion of the promisor”. The Commonwealth made an illusory promise – there was nothing to enforce – the Commonwealth had complete discretion to determine the amount of the subsidy. ,1969,AN OFFER MUST BE PROMISSORY
PHARMACEUTICAL SOCIETY OF GREAT BRITAIN V BOOTS CASH CHEMISTS,Boots ran a self-service chemist. Non-prescription drugs were displayed on shelves. Customers selected what they wanted and took the products they selected to the cashier. There was a registered pharmacist supervising the cashier. PSGB alleged that Boots was selling the drugs without the supervision of a registered pharmacist. ,Were drugs selected by the customer “sold” to the customer before the customer took them to the cashier?,Display of goods = invitation to treat,Customer makes the offer to the cashier. Cashier accepts offer and processes payment. ,1953,AN OFFER MUST BE INTENDED TO RESULT IN A CONTRACT IF ACCEPTED:INVITATION TO TREAT
PARTRIDGE V CRITTENDEN,"P put an advertisement in a newspaper which stated “Bramblefinch cocks and hens, 25/- each”. This was said to breach a statutory offence of unlawfully offering wild birds for sale. ",Was the advertisement an offer or an invitstion to treat,"The advertisement was an invitation to enter into negotiations with interested buyers, not an offer.","“Unless advertisements come from manufacturers, ... [they should be] construed as invitations to treat and not offers for sale”",1968,INVITATION TO TREAT
MASTERS V CAMERON,"parties signed a written memorandum whereby C agreed to sell a property to M at a stipulated price. the document contained the following statement:this agreement is made subject to the preparation of a formal contract of sale which shall be acceptable to my [C’s] solicitors on the above terms and conditions. when M ran into financial difficulties, he refused to complete the transaction. M argued that there was no contract between himself and C and sought to recover the deposit. ",Was the signed memorandum a non-binding argeement or a binding contract?,The memorandum was a non-binding preliminary agreement,The parties do not intend to make a binding agreement at all unless and until they execute a formal contract.,1954,ACCEPTANCE MUST NOT BE SUBJECT TO A CONDITION
HENTHORN V FRASER,"F offered to sell certain houses to H. H was given 14 days in which to accept the offer. The day after receiving the offer, H posted a letter of acceptance to F. After the letter was posted by H, but before it was received by F, F was offered a higher price for the houses by another buyer. F purported to withdraw his offer to H.",Had H accepted the offer before F’s attempt to withdraw it?,Acceptance was effective as soon as H posted the letter. Thus F’s attempt to withdraw the offer was ineffective and binding contract existed between H and F. ,"Where the circumstances are such that it must have been within the contemplation of the parties that ... the post might be used as a means of communicating the acceptance of an offer, the acceptance is effective as soon as it is posted. An offeror is free to state that acceptance by post is not acceptable, in which case the postal acceptance rule does not apply.",1892,postal acceptance rule
